strain_id,n_degradation_genes,has_carboxylesterase,n_hits_carboxylesterase,max_pident_carboxylesterase,best_bitscore_carboxylesterase,mean_pident_carboxylesterase,has_opd_mpd,n_hits_opd_mpd,max_pident_opd_mpd,best_bitscore_opd_mpd,mean_pident_opd_mpd,has_pyrethroid_hydrolase,n_hits_pyrethroid_hydrolase,max_pident_pyrethroid_hydrolase,best_bitscore_pyrethroid_hydrolase,mean_pident_pyrethroid_hydrolase,has_cytochrome_p450,n_hits_cytochrome_p450,max_pident_cytochrome_p450,best_bitscore_cytochrome_p450,mean_pident_cytochrome_p450,has_nitroreductase,n_hits_nitroreductase,max_pident_nitroreductase,best_bitscore_nitroreductase,mean_pident_nitroreductase,has_nitrilase,n_hits_nitrilase,max_pident_nitrilase,best_bitscore_nitrilase,mean_pident_nitrilase,has_efflux_pump,n_hits_efflux_pump,max_pident_efflux_pump,best_bitscore_efflux_pump,mean_pident_efflux_pump,pesticide_gene_relevance_score,feature_source
Diaz21,39,1.0,16.0,83.846,463.0,36.76375,0.0,0.0,,,,1.0,20.0,51.724,318.0,36.1472,0.0,0.0,,,,0.0,0.0,,,,1.0,3.0,43.262,178.0,36.074999999999996,0.0,0.0,,,,0.23693342857142857,blast
Diaz23,34,1.0,18.0,64.835,373.0,37.79694444444444,1.0,3.0,47.138,263.0,41.62566666666667,1.0,10.0,46.061,267.0,35.8951,0.0,0.0,,,,0.0,0.0,,,,1.0,3.0,34.351,75.1,32.53366666666667,0.0,0.0,,,,0.2466458571428571,blast
Diaz26,35,1.0,18.0,74.216,412.0,38.78711111111111,0.0,0.0,,,,1.0,14.0,47.414,331.0,36.11928571428571,0.0,0.0,,,,0.0,0.0,,,,1.0,3.0,41.912,165.0,35.962666666666664,0.0,0.0,,,,0.21566914285714286,blast
Diaz28,36,1.0,16.0,50.98,259.0,34.770062499999995,1.0,2.0,54.915,308.0,54.915,1.0,15.0,52.756,294.0,37.032799999999995,0.0,0.0,,,,0.0,0.0,,,,1.0,3.0,52.747,194.0,39.54933333333333,0.0,0.0,,,,0.2637012857142857,blast
Diaz8,25,1.0,13.0,50.235,242.0,36.88038461538462,0.0,0.0,,,,1.0,11.0,45.342,305.0,35.63545454545454,0.0,0.0,,,,0.0,0.0,,,,1.0,1.0,45.5,178.0,45.5,0.0,0.0,,,,0.18203857142857144,blast
Dimeth1,36,1.0,20.0,50.189,261.0,37.1568,1.0,2.0,42.466,226.0,42.466,1.0,13.0,49.359,264.0,35.03453846153846,0.0,0.0,,,,0.0,0.0,,,,1.0,1.0,32.317,54.7,32.317,0.0,0.0,,,,0.22306099999999998,blast
Dimeth2,34,1.0,11.0,81.532,881.0,38.199363636363636,1.0,8.0,48.71,315.0,35.63225,1.0,13.0,52.282,323.0,37.27907692307692,0.0,0.0,,,,0.0,0.0,,,,1.0,2.0,32.353,83.6,31.5875,0.0,0.0,,,,0.27918442857142856,blast
Dimeth3,36,1.0,10.0,81.532,881.0,39.67700000000001,1.0,8.0,48.71,316.0,35.775999999999996,1.0,16.0,52.282,323.0,35.9434375,0.0,0.0,,,,0.0,0.0,,,,1.0,2.0,32.37,83.6,32.3615,0.0,0.0,,,,0.27920142857142854,blast
Dimeth4,45,1.0,24.0,79.604,860.0,39.23825,1.0,2.0,44.746,265.0,37.706500000000005,1.0,16.0,56.432,347.0,35.824687499999996,0.0,0.0,,,,0.0,0.0,,,,1.0,3.0,33.728,90.9,31.462333333333333,0.0,0.0,,,,0.2792034285714286,blast
Dimeth7,44,1.0,15.0,81.532,881.0,37.81666666666667,1.0,8.0,48.387,313.0,35.630624999999995,1.0,16.0,52.282,327.0,36.0415625,0.0,0.0,,,,0.0,0.0,,,,1.0,5.0,38.235,84.0,32.7024,0.0,0.0,,,,0.28469728571428565,blast
Dimeth8,45,1.0,22.0,79.604,860.0,39.46418181818182,1.0,2.0,44.746,266.0,37.873000000000005,1.0,19.0,56.432,333.0,37.707947368421046,0.0,0.0,,,,0.0,0.0,,,,1.0,2.0,33.728,91.3,32.17,0.0,0.0,,,,0.2792034285714286,blast
Dimeth9,39,1.0,14.0,81.532,881.0,39.66249999999999,1.0,8.0,48.71,316.0,35.3155,1.0,14.0,52.282,326.0,36.280071428571425,0.0,0.0,,,,0.0,0.0,,,,1.0,3.0,75.0,84.0,46.18566666666667,0.0,0.0,,,,0.32183142857142855,blast
Mal1,37,1.0,14.0,100.0,572.0,44.35628571428571,0.0,0.0,,,,1.0,19.0,51.282,330.0,34.82721052631579,0.0,0.0,,,,0.0,0.0,,,,1.0,4.0,45.643,175.0,35.439,0.0,0.0,,,,0.2617601428571429,blast
Mal2,38,1.0,17.0,83.846,466.0,37.13305882352941,0.0,0.0,,,,1.0,17.0,50.862,341.0,35.93905882352941,0.0,0.0,,,,0.0,0.0,,,,1.0,4.0,47.619,179.0,40.1755,0.0,0.0,,,,0.24005900000000002,blast
Mal3,37,1.0,14.0,100.0,572.0,44.35628571428571,0.0,0.0,,,,1.0,19.0,51.282,330.0,34.85226315789474,0.0,0.0,,,,0.0,0.0,,,,1.0,4.0,45.643,175.0,35.439,0.0,0.0,,,,0.2617601428571429,blast
Mal4,37,1.0,14.0,100.0,572.0,44.35628571428571,0.0,0.0,,,,1.0,19.0,51.282,330.0,34.89942105263158,0.0,0.0,,,,0.0,0.0,,,,1.0,4.0,45.643,175.0,35.439,0.0,0.0,,,,0.2617601428571429,blast
Mal5,37,1.0,14.0,100.0,572.0,44.35628571428571,0.0,0.0,,,,1.0,19.0,51.282,330.0,34.82721052631579,0.0,0.0,,,,0.0,0.0,,,,1.0,4.0,45.643,175.0,35.439,0.0,0.0,,,,0.2617601428571429,blast
Mal6,37,1.0,14.0,100.0,572.0,44.446928571428565,1.0,1.0,32.051,45.1,32.051,1.0,18.0,51.282,330.0,34.912333333333336,0.0,0.0,,,,0.0,0.0,,,,1.0,4.0,45.643,175.0,35.439,0.0,0.0,,,,0.2983898571428571,blast
Mal7,37,1.0,14.0,100.0,572.0,44.446928571428565,1.0,1.0,32.051,45.1,32.051,1.0,18.0,51.282,330.0,34.912333333333336,0.0,0.0,,,,0.0,0.0,,,,1.0,4.0,45.643,175.0,35.439,0.0,0.0,,,,0.2983898571428571,blast
Mal8,39,1.0,16.0,100.0,549.0,48.397625,1.0,1.0,32.051,45.1,32.051,1.0,18.0,51.282,330.0,34.899166666666666,0.0,0.0,,,,0.0,0.0,,,,1.0,4.0,45.643,175.0,37.282000000000004,0.0,0.0,,,,0.2983898571428571,blast
